Código;Descripción;Ref.prov;Prov.;Costo;Venta;Stock();Margen;Real
;LAUGHING BUDDHA 10 UNID. FEMINIZADAS;BARNEYS FAR-33;1;41,03;81;0;0;79,48
;TOP DAWG 10 UNID. FEMINIZADAS;BARNEYS FAR-34;1;22;43;0;0;77,68
;RED DIESEL 10 UNID. FEMINIZADAS;BARNEYS FAR-35;1;35,75;70;0;0;78,01
;8 BALL KUSH 10 UNID. FEMINIZADAS;BARNEYS FAR-36;1;20,9;41;0;0;78,33
;HONEY B 10 UNID. REGULARES;BARNEYS FAR-37;1;23,1;46;0;0;81,04
;LAUGHING BUDDHA 10 UNID. REGULARES;BARNEYS FAR-38;1;26,4;52;0;0;79,05
;VIOLATOR KUSH 10 UNID. REGULARES;BARNEYS FAR-39;1;26,4;52;0;0;79,05
;G13 HAZE 10 UNID. REGULARES;BARNEYS FAR-40;1;27,5;57;0;0;88,44
;SWEET TOOTH 10 UNID. REGULARES;BARNEYS FAR-41;1;23,1;46;0;0;81,04
;MORNING GLORY 10 UNID. REGULARES;BARNEYS FAR-42;1;20,9;41;0;0;78,33
;VANILLA KUSH 5 UNID. FEMINIZADAS;BARNEYS FAR-43;2;18,68;36;0;0;75,21
;FLOWER POWER AUTOFLOWERING 3 UNID. FEMINIZADAS;BARNEYS FAR-44;8;10,54;29;0;0;150,09
;TANGERINE DREAM 5 UNID. FEMINIZADAS;BARNEYS FAR-45;2;20,24;39;0;0;75,15
;VANILLA KUSH 10 UNID. FEMINIZADAS;BARNEYS FAR-46;2;33,73;65;0;0;75,19
;ACAPULCO GOLD 10 UNID. FEMINIZADAS;BARNEYS FAR-47;2;31,65;61;0;0;75,2
;PINEAPPLE CHUNK 10 UNID. FEMINIZADAS;BARNEYS FAR-48;2;31,65;61;0;0;75,2
;TANGERINE DREAM 10 UNID. FEMINIZADAS;BARNEYS FAR-49;2;36,32;70;0;0;75,22
;PINEAPPLE CHUNK 5 UNID. FEMINIZADAS;BARNEYS FAR-50;2;17,64;34;0;0;75,23
;LITTLE CHEESE AUTO 5 UNID. FEMINIZADAS;BARNEYS FAR-51;2;14;26;0;0;68,86
;ACAPULCO GOLD 5 UNID. FEMINIZADAS;BARNEYS FAR-52;2;17,64;35;0;0;80,39
;MALANA BOMB AUTOMATICA 5 UNID.;BARNEYS FAR-53;2;16,08;31;0;0;75,25
;BLUE MAMMOTH AUTOMATICA 5 UNID.;BARNEYS FAR-54;2;15,05;29;0;0;75,15
;DR. GRINSPOON 5 UNID. FEMINIZADAS;BARNEYS FAR-55;2;20,24;39;0;0;75,15
;CRITICAL KUSH 5 UNID. FEMINIZADAS;BARNEYS FAR-56;2;19,71;38,01;0;0;75,29
;BASCULA KENNEX VORTEX 0,01-50g;BASCULA-01;7;8,59;25;-1;0;140,51
;BASCULA KENNEX VORTEX 0,1-500g;BASCULA-02;7;7,38;20;0;0;123,98
;BASCULA TANITA PROFESSIONAL 1579 PRO 0,01-200g;BASCULA-03;2;59;120;-1;0;68,08
;BASCULA TANITA 1479 Z EXTRA FINA PRO 0,1-200g;BASCULA-04;2;61,71;118;1;0;58,03
;BASCULA MY WEIGH 0,1-1200g;BASCULA-05;2;71,39;127;0;0;47,02
;PESA DE CALIBRACION 50 GRS;BASCULA-06;2;3,03;6;0;0;63,7
;PESA DE CALIBRACION 100 GRS;BASCULA-07;2;3,63;7,01;0;0;59,5
;BASCULA MY WEIGH 1g-7kg;BASCULA-08;2;38,72;70;0;0;49,41
;BASCULA NOTEBOOK 0,1-2000 KG;BASCULA-09;7;12;30;-2;0;106,58
;BASCULA KENNEX SPOON 0,1g-100g;BASCULA-10;7;13,01;30;0;0;90,55
;SUPER SILVER HAZE 98  1 UNID. FEMINIZADA;BCN SEEDS-01;2;6,66;9,99;0;0;24,02
;HYPERMIX 50 L;BIO AIGUA-01;17;8,99;18;-10;0;81,98
;GROWER 1 L;BIO AIGUA-02;17;5,36;10;0;0;69,59
;BLOOMER 1 L;BIO AIGUA-03;17;6,74;12;0;0;61,87
;ENZYMAX 1 L;BIO AIGUA-04;17;8,95;16,01;0;0;62,57
;ENZYMAX 500 ML;BIO AIGUA-05;17;5,25;10;0;0;73,14
;FLOMAX 250 ML;BIO AIGUA-06;17;14,54;30;0;0;87,55
;FLOMAX 500 ML;BIO AIGUA-07;17;18,92;45;0;0;116,23
;ROOTY 250 ML;BIO AIGUA-08;17;8,22;15;0;0;65,94
;SOFTMIX 50 L;BIO AIGUA-09;17;6,53;12;0;0;67,08
;HYPERMIX 20 L;BIO AIGUA-10;17;4,57;9;0;0;78,99
