Código;Descripción;Ref.prov;Prov.;Costo;Venta;Stock();Margen;Real
;BLUE FRUIT 5 UNID.;DINAFEM-34;1;16,5;35;0;0;92,85
;DIESEL 10 UNID.;DINAFEM-36;2;32,9;64;0;0;76,84
;INDUSTRIAL PLANT 10 UNID.;DINAFEM-37;2;50,37;98;0;0;76,87
;BLUE FRUIT 10 UNID.;DINAFEM-38;1;34,1;69;0;0;83,96
;ROADRUNNER 10 UNID;DINAFEM-39;2;21,59;42;0;0;76,84
;SHARK ATTACK 10 UNID.;DINAFEM-40;2;33,41;65;0;0;76,86
;MOBY HASH 10 UNID.;DINAFEM-41;1;47,3;99;0;0;90,27
;CALIFORNIA HASHPLANT 10 UNID.;DINAFEM-42;2;48,83;95;0;0;76,86
;BLUE HASH 10 UNID.;DINAFEM-43;2;45,23;88;0;0;76,87
;POWER KUSH 10 UNID.;DINAFEM-44;2;35,98;70;0;0;76,88
;WHITE WIDOW 10 UNID.;DINAFEM-45;2;40,61;79;0;0;76,85
;MOBY DICK 10 UNID.;DINAFEM-46;2;56,54;110;0;0;76,87
;BLUE WIDOW 10 UNID.;DINAFEM-47;2;40,61;79;0;0;76,85
;ROYAL HAZE 10 UNID.;DINAFEM-48;2;40,1;78;0;0;76,83
;CRITICAL + 10 UNID.;DINAFEM-49;2;46,27;90;0;0;76,83
;SUPER SILVER 10 UNID.;DINAFEM-51;2;35,98;70;0;0;76,88
;CRITICAL JACK 3 UNID.;DINAFEM-53;2;11,82;23;0;0;76,9
;MOBY DICK # 2 3 UNID.;DINAFEM-54;2;14,39;28;0;0;76,86
;FRUIT AUTOMATICA 5 UNID.;DINAFEM-56;2;9,25;18;0;0;76,86
;ROADRUNNER # 2  5 UNID. AUTOMATICA;DINAFEM-57;2;11,31;22;0;0;76,83
;HAZE AUTOMATIC 1 UNID.;DINAFEM-58;2;4,11;8;0;0;76,89
;CRITICAL JACK 1 UNID.;DINAFEM-59;2;5,14;10;0;0;76,85
;FRUIT AUTOMATIC 1 UNID.;DINAFEM-60;2;4,11;8;0;0;76,89
;CRITICAL JACK AUTOMATICA 3 UNID.;DINAFEM-61;2;11,82;23;0;0;76,9
;CRITICAL JACK AUTOMATICA 1 UNID.;DINAFEM-62;2;5,14;10;0;0;76,85
;ROADRUNNER # 2  3 UNID. AUTOMATICA;DINAFEM-63;2;7,19;14;0;0;77,05
;HAZE AUTOMATIC 3 UNID.;DINAFEM-64;2;9,25;18;0;0;76,86
;FRUIT AUTOMATIC 3 UNID.;DINAFEM-65;2;9,25;18;0;0;76,86
;ORIGINAL AMNESIA 3 UNID. FEMINIZADAS;DINAFEM-66;2;13,36;26;0;0;76,95
;HAZE AUTOMATIC 5 UNID.;DINAFEM-67;2;15,42;30;0;0;76,85
;OG KUSH 5 UNID.;DINAFEM-68;2;20,56;40;0;0;76,85
;CHEESE 5 UNID.;DINAFEM-69;2;18;35;0;0;76,78
;HAZE AUTOMATIC 10 UNID.;DINAFEM-70;2;30,84;60,01;0;0;76,88
;HAZE 2.0 AUTOMATIC 3 UNID.;DINAFEM-71;2;11,82;23;0;0;76,9
;SANTA SATIVA 1 UNID.;DINAFEM-72;2;4,63;9;0;0;76,67
;ROYAL HAZE 1 UNID.;DINAFEM-73;2;4,63;9;0;0;76,67
;CRITICAL + AUTOMATICA 10 UNID.;DINAFEM-74;2;41,12;80;0;0;76,87
;CRITICAL JACK AUTOMATICA 5 UNID.;DINAFEM-75;2;19,02;37;0;0;76,87
;ROADRUNNER # 2  10 UNID. AUTOMATICA;DINAFEM-76;2;22,62;42;0;0;68,79
;INDUSTRIAL PLANT 1 UNID.;DINAFEM-77;2;6,17;12;0;0;76,82
;MOBY DICK AUTOMATICA 3 UNID.;DINAFEM-78;2;12,85;25;0;0;76,89
;ORIGINAL AMNESIA AUTOMATICA 3 UNID.;DINAFEM-79;2;11,31;22;0;0;76,83
;WHITE WIDOW AUTOMATICA 3 UNID.;DINAFEM-80;2;11,31;22;0;0;76,83
;CRITICAL + AUTOMATICA 3 UNID.;DINAFEM-81;2;12,85;25;0;0;76,89
;OG KUSH 10 UNID.;DINAFEM-82;2;40,61;79;0;0;76,85
;HAZE 2.0 AUTOMATIC 5 UNID.;DINAFEM-83;2;20,04;39;0;0;76,9
;ORIGINAL AMNESIA 5 UNID. FEMINIZADAS;DINAFEM-84;2;22,1;43;0;0;76,88
;ORIGINAL AMNESIA 10 UNID. FEMINIZADAS;DINAFEM-85;2;43,69;85;0;0;76,86
;EDICION COLECCIONISTA # 1  6 UNID.;DINAFEM-86;2;27,75;54;0;0;76,9
;CHEESE AUTOMATIC 3 UNID.;DINAFEM-87;2;9,25;18;0;0;76,86
;WHITE CHEESE AUTOMATICA 3 UNID.;DINAFEM-88;2;9,77;19;0;0;76,77
;HAZE 2.0 AUTOMATIC 1 UNID.;DINAFEM-89;2;5,14;10;0;0;76,85
;CHEESE AUTOMATIC 1 UNID.;DINAFEM-90;2;4,11;8;0;0;76,89
;WHITE WIDOW AUTOMATICA 1 UNID.;DINAFEM-91;2;4,63;9;0;0;76,67
;ORIGINAL AMNESIA AUTOMATICA 1 UNID.;DINAFEM-92;2;4,63;9;0;0;76,67
;MOBY DICK 1 UNID.;DINAFEM-93;2;7,19;14;0;0;77,05
;SUPER SILVER 1 UNID.;DINAFEM-94;2;4,63;9;0;0;76,67
;CHEESE 1 UNID.;DINAFEM-95;2;4,63;9;0;0;76,67
;L.A. CONFINDENTIAL 6 UNID. FEMINIZADAS;DNA GENETIC-01;2;33;60,01;0;0;65,3
;LEMON OG KUSH 3 UNID. FEMINIZADAS;DNA GENETIC-02;2;19,25;35;0;0;65,3
;CRYSTAL M.E.H.T. 4 UNID. FEMINIZADAS;DR. UNDER S-01;2;21,18;40;0;0;56,09
;PAINKILLER 2 UNID. FEMINIZADAS;DR. UNDER S-02;2;9,08;17;0;0;54,74
;DUTCH HAZE 5 UNID. FEMINIZADAS;DUTCH PASS-01;2;24,39;47;0;0;75,19
;MASTERKUSH 10 UNID. FEMINIZADAS;DUTCH PASS-02;2;36,32;70;0;0;75,22
;SKUNK # 11 5 UNID. FEMINIZADAS;DUTCH PASS-03;2;14,01;27,01;0;0;75,23
;PURPLE # 1 10 UNID. FEMINIZADAS;DUTCH PASS-04;1;33;60,01;0;0;65,3
;POWER PLANT 5 UNID. FEMINIZADAS;DUTCH PASS-05;2;22,83;44;0;0;75,21
;ORANGE BUD 5 UNID. FEMINIZADAS;DUTCH PASS-06;2;20,24;39;0;0;75,15
;MAZAR 5 UNID. FEMINIZADAS;DUTCH PASS-08;2;25,42;49,01;0;0;75,26
;FLO 5 UNID. FEMINIZADAS;DUTCH PASS-09;2;25,42;49,01;0;0;75,26
;BLUE MOONSHINE 5 UNID. FEMINIZADAS;DUTCH PASS-10;1;30,8;60,01;0;0;77,11
;MAZAR 5 UNID. REGULARES;DUTCH PASS-101;1;13,75;27,01;0;0;78,55
;WHITE WIDOW 5 UNID. REGULARES;DUTCH PASS-102;1;14,85;30;0;0;83,64
;EUFORIA 5 UNID. REGULARES;DUTCH PASS-103;1;12,65;25;0;0;79,68
;BLUEBERRY 5 UNID. REGULARES;DUTCH PASS-104;1;15,95;32;0;0;82,38
;PASSION # 1  10 UNID. REGULARES;DUTCH PASS-105;2;15,56;30;0;0;75,26
;HOLLANDS HOPE 10 UNID. REGULARES;DUTCH PASS-106;2;15,56;30;0;0;75,26
;PURPLE # 1  10 UNID. REGULARES;DUTCH PASS-107;2;14,01;27,01;0;0;75,23
;SHAMAN 10 UNID. REGULARES;DUTCH PASS-108;2;11,42;22;0;0;75,13
;DURBAN POISON 10 UNID. REGULARES;DUTCH PASS-109;2;16,6;32;0;0;75,24
;EUFORIA 5 UNID. FEMINIZADAS;DUTCH PASS-11;2;22,82;44;0;0;75,28
;SKUNK # 1  10 UNID. REGULARES;DUTCH PASS-110;2;10,37;20;0;0;75,31
;AUTOMAZAR 7 UNID. FEMINIZADAS;DUTCH PASS-111;2;31,13;60,01;0;0;75,23
;AUTOBLUEBERRY 3 UNID. FEMINIZADAS;DUTCH PASS-112;2;15,05;29;0;0;75,15
;AUTOMAZAR 3 UNID. FEMINIZADAS;DUTCH PASS-113;2;15,05;29;0;0;75,15
;WHITE WIDOW 3 UNID. FEMINIZADAS;DUTCH PASS-114;2;17,13;33;0;0;75,13
;ORANGE BUD 3 UNID. FEMINIZADAS;DUTCH PASS-115;2;12,45;24;0;0;75,26
;MIX 4  6 UNID. COLOUR MIXES;DUTCH PASS-116;2;25,94;50;0;0;75,21
;SKUNK # 11  3 UNID. FEMINIZADAS;DUTCH PASS-117;2;8,82;17;0;0;75,17
;MIX 3  6 UNID. FEMINIZADAS;DUTCH PASS-118;2;25,94;50;0;0;75,21
;MAZAR 3 UNID. FEMINIZADAS;DUTCH PASS-119;2;15,56;30;0;0;75,26
;POWER PLANT 10 UNID. REGULARES;DUTCH PASS-12;2;19,2;37;0;0;75,21
;FREDDY'S BEST 3 UNID. FEMINIZADAS;DUTCH PASS-120;2;15,56;30;0;0;75,26
;THINK DIFFERENT 3 UNID. FEMINIZADAS;DUTCH PASS-121;2;15,05;29;0;0;75,15
;POWER PLANT 3 UNID. FEMINIZADAS;DUTCH PASS-122;2;14,01;27,01;0;0;75,23
;PASSION # 1 3 UNID. FEMINIZADAS;DUTCH PASS-123;2;11,94;23;0;0;75,13
;BLUEBERRY 3 UNID. FEMINIZADAS;DUTCH PASS-124;2;17,13;33;0;0;75,13
;SUPER HAZE 10 UNID. REGULARES;DUTCH PASS-13;1;18,7;37;0;0;79,89
;EUFORIA 10 UNID. REGULARES;DUTCH PASS-14;2;19,2;37;0;0;75,21
;VOODOO 10 UNID. REGULARES;DUTCH PASS-15;1;13,31;27,01;0;0;84,45
;MAZAR 10 UNID. REGULARES;DUTCH PASS-16;2;21,79;42;0;0;75,22
;WHITE WIDOW 10 UNID. REGULARES;DUTCH PASS-17;2;23,35;45;0;0;75,2
;BLUEBERRY 10 UNID. REGULARES;DUTCH PASS-18;2;24,39;47;0;0;75,19
;SNOWSTORM 5 UNID. FEMINIZADAS;DUTCH PASS-19;1;18,7;37;0;0;79,89
;TAIGA 5 UNID. FEMINIZADAS;DUTCH PASS-20;1;19,72;40;0;0;84,38
;MASTERKUSH 10 UNID. REGULARES;DUTCH PASS-21;2;16,6;32;0;0;75,24
;TUNDRA 5 UNID. FEMINIZADAS;DUTCH PASS-22;1;19,72;40;0;0;84,38
;EUFORIA 10 UNID. FEMINIZADAS;DUTCH PASS-23;2;41,51;80;0;0;75,21
;SKYWALKER 5 UNID. FEMINIZADAS;DUTCH PASS-24;2;28,02;54;0;0;75,2
;SKYWALKER 10 UNID. FEMINIZADAS;DUTCH PASS-25;2;51,89;100;0;0;75,2
;WHITE WIDOW 10 UNID. FEMINIZADAS;DUTCH PASS-26;2;51,89;100;0;0;75,2
;ORANGE BUD 10 UNID. REGULARES;DUTCH PASS-27;2;16,6;32;0;0;75,24
;MAZAR 10 UNID. FEMINIZADAS;DUTCH PASS-28;2;46,7;90;0;0;75,2
;ULTRA SKUNK 10 UNID. FEMINIZADAS;DUTCH PASS-29;2;41,51;80;0;0;75,21
;SKUNK PASSION 5 UNID. FEMINIZADAS;DUTCH PASS-30;2;17,64;34;0;0;75,23
;ULTRA SKUNK 5 UNID. FEMINIZADAS;DUTCH PASS-31;2;22,82;44;0;0;75,28
;OASIS 5 UNID. FEMINIZADAS;DUTCH PASS-32;1;23,1;47;0;0;84,98
;KHOLA 5 UNID. FEMINIZADAS;DUTCH PASS-33;1;19,8;40;0;0;83,64
;DURBAN POISON 5 UNID. FEMINIZADAS;DUTCH PASS-34;1;17,28;37;0;0;94,68
;TWILIGHT 5 UNID. FEMINIZADAS;DUTCH PASS-35;2;16,6;32;0;0;75,24
;SHAMAN 5 UNID. FEMINIZADAS;DUTCH PASS-36;2;15,05;29;0;0;75,15
;FRISIAN DEW 5 UNID. FEMINIZADAS;DUTCH PASS-37;2;19,2;37;0;0;75,21
;HOLLANDS HOPE 5 UNID. FEMINIZADAS;DUTCH PASS-38;2;19,2;37;0;0;75,21
;TRANCE 5 UNID. FEMINIZADAS;DUTCH PASS-39;2;17,64;34;0;0;75,23
;PASSION # 1  5 UNID. FEMINIZADAS;DUTCH PASS-40;2;19,2;37;0;0;75,21
;PURPLE # 1  5 UNID. FEMINIZADAS;DUTCH PASS-41;1;16,88;34;0;0;83,12
;PAMIR GOLD 5 UNID. FEMINIZADAS;DUTCH PASS-42;2;17,64;34;0;0;75,23
;GREEN SPIRIT 5 UNID. FEMINIZADAS;DUTCH PASS-43;1;23,1;45;0;0;77,1
;MASTERKUSH 5 UNID. FEMINIZADAS;DUTCH PASS-44;2;20,24;39;0;0;75,15
;SUPER HAZE 5 UNID. FEMINIZADAS;DUTCH PASS-45;1;23,1;45;0;0;77,1
;CAL. ORANGE 5 UNID. FEMINIZADAS;DUTCH PASS-46;2;21,79;42;0;0;75,22
;SACRA FRASCA 5 UNID. FEMINIZADAS;DUTCH PASS-47;1;23,1;45;0;0;77,1
;BRAINSTORM 5 UNID. FEMINIZADAS;DUTCH PASS-48;2;14,01;27,01;0;0;75,23
;VOODOO 5 UNID. FEMINIZADAS;DUTCH PASS-49;1;17,6;35;0;0;80,8
;DOLCE VITA 5 UNID. FEMINIZADAS;DUTCH PASS-50;1;25,3;50;0;0;79,64
;WHITE WIDOW 5 UNID. FEMINIZADAS;DUTCH PASS-51;2;28,02;54;0;0;75,2
;BLUEBERRY 5 UNID. FEMINIZADAS;DUTCH PASS-52;2;28,02;54;0;0;75,2
;STRAWBERRY COUGH 5 UNID. FEMINIZADAS;DUTCH PASS-53;2;22,82;44;0;0;75,28
;JORGES DIAMONDS# 1  5 UNID. FEMINIZADAS;DUTCH PASS-54;2;22,82;44;0;0;75,28
;SNOWBUD 5 UNID. FEMINIZADAS;DUTCH PASS-55;1;16,5;32;0;0;76,3
;LA LYBELLA 5 UNID. FEMINIZADAS;DUTCH PASS-56;1;24,2;47;0;0;76,57
;ORTEGA INDICA 5 UNID. FEMINIZADAS;DUTCH PASS-57;2;19,2;37;0;0;75,21
;PASSION # 1  10 UNID. FEMINIZADAS;DUTCH PASS-58;2;33,73;65;0;0;75,19
;TRANCE 10 UNID. FEMINIZADAS;DUTCH PASS-59;2;31,13;60,01;0;0;75,23
;HOLLANDS HOPE 10 UNID. FEMINIZADAS;DUTCH PASS-60;2;33,73;65;0;0;75,19
;FRISIAN DEW 10 UNID. FEMINIZADAS;DUTCH PASS-61;2;33,73;65;0;0;75,19
;SHAMAN 10 UNID. FEMINIZADAS;DUTCH PASS-62;2;25,94;50;0;0;75,21
;TWILIGHT 10 UNID. FEMINIZADAS;DUTCH PASS-63;2;28,53;55;0;0;75,25
;DURBAN POISON 10 UNID. FEMINIZADAS;DUTCH PASS-64;2;33,73;65;0;0;75,19
;KHOLA 10 UNID. FEMINIZADAS;DUTCH PASS-65;1;38,5;75;0;0;77,09
;SKUNK # 11  10 UNID. FEMINIZADAS;DUTCH PASS-66;2;23,35;45;0;0;75,2
;SKUNK PASSION 10 UNID. FEMINIZADAS;DUTCH PASS-67;1;35,2;70;0;0;80,8
;POWER PLANT 10 UNID. FEMINIZADAS;DUTCH PASS-68;2;41,51;80;0;0;75,21
;OASIS 10 UNID. FEMINIZADAS;DUTCH PASS-69;1;43,45;85;0;0;77,84
;GREEN SPIRIT 10 UNID. FEMINIZADAS;DUTCH PASS-70;2;36,32;70;0;0;75,22
;SUPER HAZE 10 UNID. FEMINIZADAS;DUTCH PASS-71;2;36,32;70;0;0;75,22
;BRAINSTORM 10 UNID. FEMINIZADAS;DUTCH PASS-72;2;23,35;45;0;0;75,2
;ISIS 10 UNID. FEMINIZADAS;DUTCH PASS-73;2;46,7;90;0;0;75,2
;VOODOO 10 UNID. FEMINIZADAS;DUTCH PASS-74;1;30,25;60,01;0;0;80,33
;CAL. ORANGE 10 UNID. FEMINIZADAS;DUTCH PASS-75;2;38,92;75;0;0;75,18
;SACRA FRASCA 10 UNID. FEMINIZADAS;DUTCH PASS-76;1;40,7;80;0;0;78,7
;DOLCE VITA 10 UNID. FEMINIZADAS;DUTCH PASS-77;2;41,51;80;0;0;75,21
;BLUEBERRY 10 UNID. FEMINIZADAS;DUTCH PASS-78;2;51,89;100;0;0;75,2
;FLO 10 UNID. FEMINIZADAS;DUTCH PASS-79;1;46,2;90;0;0;77,1
;BLUE MOONSHINE 10 UNID. FEMINIZADAS;DUTCH PASS-80;2;46,7;90;0;0;75,2
;STRAWBERRY COUGH 10 UNID. FEMINIZADAS;DUTCH PASS-81;2;41,51;80;0;0;75,21
;JORGES DIAMONDS # 1  10 UNID. FEMINIZADAS;DUTCH PASS-82;2;41,51;80;0;0;75,21
;SNOWBUD 10 UNID. FEMINIZADAS;DUTCH PASS-83;2;25,94;50;0;0;75,21
;PAMIR GOLD 10 UNID. FEMINIZADAS;DUTCH PASS-84;2;31,13;60,01;0;0;75,23
;LA LYBELLA 10 UNID. FEMINIZADAS;DUTCH PASS-85;1;43,45;85;0;0;77,84
;ORTEGA INDICA 10 UNID. FEMINIZADAS;DUTCH PASS-86;2;33,73;65;0;0;75,19
;TAIGA 10 UNID. FEMINIZADAS;DUTCH PASS-87;1;38,5;75;0;0;77,09
;TUNDRA 10 UNID. FEMINIZADAS;DUTCH PASS-88;1;37,95;75;0;0;79,66
;HOLLANDS HOPE 5 UNID. REGULARES;DUTCH PASS-90;1;8,25;17;0;0;87,27
;PURPLE # 1  5 UNID. REGULARES;DUTCH PASS-91;1;8,25;17;0;0;87,27
;SHAMAN 5 UNID. REGULARES;DUTCH PASS-92;1;7,7;15;0;0;77,14
;DURBAN POISON 5 UNID. REGULARES;DUTCH PASS-93;1;9,9;20;0;0;83,64
;SKUNK # 1  5 UNID. REGULARES;DUTCH PASS-94;1;6,6;13;0;0;79,09
;POWER PLANT 5 UNID. REGULARES;DUTCH PASS-95;1;12,65;25;0;0;79,68
;ORANGE BUD 5 UNID. REGULARES;DUTCH PASS-96;1;8,8;18;0;0;85,91
;MASTERKUSH 5 UNID. REGULARES;DUTCH PASS-97;2;9,34;18;0;0;75,16
;SUPER HAZE 5 UNID. REGULARES;DUTCH PASS-98;2;9,34;18;0;0;75,16
;VOODOO 5 UNID. REGULARES;DUTCH PASS-99;2;7,79;15;0;0;75,1
;ENMASCARADOR ZYDOT NARANJA NATURAL;ENMASCARADO-01;2;21,17;40;-1;0;56,16
;MAQUINA DE ENVASAR AL VACIO 33 CM;ENVASADO-01;6;120,76;185;0;0;26,61
;BOLSA DE VACIO GOFRADA (30x40);ENVASADO-02;6;0,27;0;0;0;-100
;ROLLO GOFRADO (20x600cm);ENVASADO-03;6;8,38;16;0;0;57,76
;ETIQUETA PINCHO GRANDES;ETIQUETA-02;6;0,11;0;0;0;-100
;MONSTER 3 UNID. FEMINIZADAS;EVA SEEDS-01;2;9,32;18;0;0;59,66
;AFRICAN FREE 3 UNID. FEMINIZADAS;EVA SEEDS-02;1;8,71;18;0;0;70,84
;MISSING 3 UNID. FEMINIZADAS;EVA SEEDS-03;2;13,92;27;0;0;60,27
;PAPA`S CANDY 3 UNID. FEMINIZADAS;EVA SEEDS-04;1;12,52;27;0;0;78,19
;NEXUS 3 UNID. FEMINIZADAS;EVA SEEDS-05;2;9,32;18;0;0;59,66
;HIGH LEVEL 3 UNID. FEMINIZADAS;EVA SEEDS-06;2;9,32;18;0;0;59,66
;VENENO 3 UNID. FEMINIZADAS;EVA SEEDS-07;2;15,73;30;0;0;57,6
;AFRICAN FREE 6 UNID. FEMINIZADAS;EVA SEEDS-08;2;18,64;37;0;0;64,06
;NEXUS 6 UNID. FEMINIZADAS;EVA SEEDS-09;2;18,64;37;0;0;64,06
;HIGH LEVEL 6 UNID. FEMINIZADAS;EVA SEEDS-10;2;18,64;37;0;0;64,06
;MONSTER 6 UNID. FEMINIZADAS;EVA SEEDS-11;2;18,63;37;0;0;64,14
;MISSING 6 UNID. FEMINIZADAS;EVA SEEDS-12;2;27,83;53;0;0;57,38
;VENENO 6 UNID. FEMINIZADAS;EVA SEEDS-13;2;31,46;60;0;0;57,63
;PAPA'S CANDY 6 UNID. FEMINIZADAS;EVA SEEDS-14;2;25,3;53;0;0;90,43
;AFRICAN FREE 9 UNID. FEMINIZADAS;EVA SEEDS-15;2;25,77;54;0;0;73,19
;NEXUS 9 UNID. FEMINIZADAS;EVA SEEDS-16;2;27,95;54,99;0;0;62,61
;HIGH LEVEL 9 UNID. FEMINIZADAS;EVA SEEDS-17;2;27,95;54,99;0;0;62,61
;MONSTER 9 UNID. FEMINIZADAS;EVA SEEDS-18;2;27,95;54,99;0;0;62,61
;MISSING 9 UNID. FEMINIZADAS;EVA SEEDS-19;2;41,75;81;0;0;60,34
;VENENO 9 UNID. FEMINIZADAS;EVA SEEDS-20;2;47,19;90;0;0;57,62
;PAPA'S CANDY 9 UNID. FEMINIZADAS;EVA SEEDS-21;2;41,75;81;0;0;60,34
;SPECIAL MIX 1  6 UNID.;EVA SEEDS-22;2;21,78;42;0;0;59,37
;TNT KUSH 3 UNID. FEMINIZADAS;EVA SEEDS-23;2;12,7;25;0;0;62,68
;JAMAICAN DREAM 3 UNID. FEMINIZADAS;EVA SEEDS-24;2;15,13;29;0;0;58,43
;JAMAICAN DREAM 6 UNID. FEMINIZADAS;EVA SEEDS-25;2;30,25;58;0;0;58,45
;WHITE DRAGON 3 UNID. FEMINIZADAS;EVA SEEDS-26;2;12,71;25;0;0;62,55
;JAMAICAN DREAM 9 UNID. FEMINIZADAS;EVA SEEDS-27;2;45,37;87;0;0;58,47
;RVK 100 E2-A1  175 M3/H;EXTRACTOR-01;2;51,91;99;0;0;57,62
;RVK 125 E2-A1  220 M3/H;EXTRACTOR-02;2;54,33;103;0;0;56,67
;RVK 125 E2-L1  325 M3/H;EXTRACTOR-03;2;48,5;110;0;0;87,44
;RVK 150 E2-A1  400 M3/H;EXTRACTOR-04;2;61,59;115;0;0;54,31
;RVK 150 E2-L1  700 M3/H;EXTRACTOR-05;2;69,57;128,01;0;0;52,06
;RVK 200 E2-A1  700 M3/H;EXTRACTOR-06;2;68,37;127;0;0;53,52
;RVK 200 E2-L1  950 M3/H;EXTRACTOR-07;2;99,22;182;0;0;51,59
;RVK 250 E2-A1  790 M3/H;EXTRACTOR-08;2;68,37;128,01;0;0;54,73
;RVK 250 E2-L1  1000 M3/H;EXTRACTOR-09;2;83,5;178;0;0;76,18
;RVK 315 E2-A1  1300 M3/H;EXTRACTOR-10;2;118,58;200;0;0;39,39
;RVK 315 E2-L1  1800 M3/H;EXTRACTOR-11;2;126,9;255;0;0;66,07
;EXTRACTOR PK 125/100 MM 2 VELOCID. 230/360 M3/H PR;EXTRACTOR-12;2;56,75;107;0;0;55,82
;EXTRACTOR PK 150/160 MM 2 VELOCID. 420/680 M3/H PR;EXTRACTOR-13;2;68,85;129;0;0;54,84
;EXTRACTOR LINEA HELICOIDAL VK 100 MM 107 M3/H;EXTRACTOR-14;2;6,95;17;0;0;102,16
;EXTRACTOR LINEA HELICOIDAL VK 125 MM;EXTRACTOR-15;2;9,45;22;0;0;92,38
;EXTRACTOR LINEA HELICOIDAL VK 150 MM 305 M3/H;EXTRACTOR-16;2;10,95;26;0;0;96,26
;EXTRACTOR TT 125 MM;EXTRACTOR-19;2;24,5;54,99;0;0;85,51
;EXTRACTOR PK 160  800 M3/H + CONTROL DE TEMPERATUR;EXTRACTOR-24;2;106,36;180;0;0;39,86
;EXTRACTOR ISOBOX MADERA HDF 250 MM 1500 M3/H;EXTRACTOR-25;2;139;265;-1;0;57,56
;EXTRACTOR ISOBOX MADERA HDF 250 MM 4250 M3/H;EXTRACTOR-26;2;290,95;420;0;0;19,3
;EXTRACTOR ISOBOX MADERA HDF 250 MM 3250 M3/H;EXTRACTOR-27;2;240,79;390;0;0;33,86
;EXTRACTOR ISOBOX MADERA HDF 250 MM 2500 M3/H;EXTRACTOR-28;2;247,44;380;0;0;26,92
;EXTRACTOR ISOBOX METAL 250 MM 2500 M3/H;EXTRACTOR-29;2;286,16;410;0;0;18,41
;EXTRACTOR ISOBOX MADERA HDF 250 MM 5000 M3/H;EXTRACTOR-30;2;405,29;580;0;0;18,27
;EXTRACTOR ISOBOX MADERA HDF 250 MM 750 M3/H;EXTRACTOR-31;2;126,93;210;0;0;36,73
;EXTRACTOR ISOBOX MADERA HDF 150 MM 550 M3/H;EXTRACTOR-32;2;114,83;195;0;0;40,35
;EXTRACTOR ISOBOX MADERA HDF 250 MM 2000 M3/H;EXTRACTOR-33;17;223,85;350;0;0;29,22
;EXTRACTOR ISOBOX MADERA HDF 250 MM 7000 M3/H;EXTRACTOR-34;2;477,95;680;0;0;17,58
;SOPORTE EXTRACTOR TUBULAR 125 MM;EXTRACTOR-38;2;8,23;16;0;0;60,63
;SOPORTE EXTRACTOR TUBULAR 150 MM;EXTRACTOR-39;2;8,75;20;0;0;88,91
;SOPORTE EXTRACTOR TUBULAR 200 MM;EXTRACTOR-40;2;9,32;17;0;0;50,75
;SOPORTE EXTRACTOR TUBULAR 250 MM;EXTRACTOR-41;2;10,28;18;0;0;44,75
;SOPORTE EXTRACTOR TUBULAR 315 MM;EXTRACTOR-42;2;15;27;0;0;48,73
;EXTRACTOR MAX-FAN 200/900;EXTRACTOR-43;3;106,98;189,99;0;0;46,78
;EXTRACTOR CAN FAN 150 L 760M3/H;EXTRACTOR-44;2;64,5;122;0;0;56,33
;EXTRACTOR CAN FAN 200 L 1110M3/H;EXTRACTOR-45;2;99,09;175;0;0;45,96
;EXTRACTOR CAN FAN 250 L 1170M3/H;EXTRACTOR-46;2;99,67;175;0;0;45,11
;EXTRACTOR ISOBOX METAL HDF 250 MM 1500 M3/H;EXTRACTOR-47;2;169;315;0;0;54,04
;EXTRACTOR ISOBOX METAL HDF 250 MM 2500 M3/H;EXTRACTOR-48;2;286,17;410;0;0;18,41
;PURPLE MAROC 10 UNID. FEMINIZADAS;FEMALE SEED-01;2;23,1;43;0;0;69,22
;BRUTAL BUDS 250 GRS;FERTILIZANT-01;6;10,89;17;0;0;29,02
;BRUTAL BUDS 3,5 KGS;FERTILIZANT-02;6;52,5;100;0;0;73,16
;FILTRO ANTIOLOR 100 MM 300 M3/H GREEN FILTER CH09;FILTRO-01;2;32,55;60;0;0;52,35
;FILTRO ANTIOLOR 125 MM 300 M3/H GREEN FILTER CH20;FILTRO-02;2;33,76;62;0;0;51,78
;FILTRO ANTIOLOR 150 MM 600 M3/H GREEN FILTER CH11;FILTRO-03;2;56,27;99,99;0;0;46,86
;FILTRO ANTIOLOR 200 MM 800 M3/H GREEN FILTER CH12;FILTRO-04;2;72,48;125,01;0;0;42,54
;FILTRO ANTIOLOR 250 MM 1800 M3/H GREEN FILTER CH15;FILTRO-05;2;166,86;279,99;0;0;38,68
;FILTRO ANTIOLOR 315 MM 1500 M3/H GREEN FILTER CH21;FILTRO-06;2;229,78;360;0;0;29,48
;FILTRO 315 MM ANTIPOLEN E INSECTOS;FILTRO-07;6;78,35;138;0;0;45,56
;FILTRO 125 MM ANTIPOLEN E INSECTOS;FILTRO-08;6;47,01;87;0;0;52,95
;FILTRO 150 MM ANTIPOLEN E INSECTOS;FILTRO-09;6;47,64;88;0;0;52,67
;FILTRO 200 MM ANTIPOLEN E INSECTOS;FILTRO-10;6;56,41;99,99;0;0;46,5
;FILTRO 250 MM ANTIPOLEN E INSECTOS;FILTRO-11;6;57,67;102;0;0;46,18
;FILTRO ANTIOLOR 125 MM 400 M3/H CARBON ACTIVE (PLA;FILTRO-12;2;65,95;110;0;0;37,85
;FILTRO ANTIOLOR 100 MM 250 MM 237 M3/H MOUNTAIN AI;FILTRO-13;6;25,7;48;0;0;54,36
